Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost USD,Imp. Cost EUR,Imp. Cost CZK,Supplier,Weight (g),Imported (pcs),Stock (pcs),Total orders
Top coat tím Medium 15ml,2403 Top coat tím Medium 15ml,Top Coat,A0000520,200,8,1.681,1.54,38.84,https://x.alibaba.com/Avz14z?ck=minisite,100,100,-1,0
Color Acrylic powder 2oz,2403 Color Acrylic powder 2oz,Bột,A0000523,250,10,3.612,3.32,83.46,https://x.alibaba.com/Avz1sf?ck=minisite,100,1953,-1,0
Tay bào Trắng Korea,2403 Tay bào Trắng Korea,Đồ điện,A0000524,2000,80,25.003,22.96,577.70,https://x.alibaba.com/AvzQXH?ck=minisite,100,20,-1,0
Súng tay bào Trắng Korea,2403 Súng tay bào Trắng Korea,Đồ điện,A0000525,375,15,6.592,6.05,152.31,https://x.alibaba.com/AvzQXH?ck=minisite,100,20,-2,0
Máy bào Korea Trắng,2403 Máy bào Korea Trắng,Đồ điện,A0000526,3600,150,39.654,36.41,916.21,https://x.alibaba.com/AvzQXH?ck=minisite,100,24,-2,0
Típ làm mẫu 20 màu 10 bảng/set,2403 Típ làm mẫu 20 màu 10 bảng/set,Tools & Accessories,A0000528,100,4,0.678,0.62,15.67,https://x.alibaba.com/AvzRXn?ck=minisite,100,50,-2,0
Tay cầm bấm móng inox,2403 Bấm móng inox,Tools & Accessories,A0000531,150,6,104.351,95.81,"2,411.03",https://x.alibaba.com/AvzRXn?ck=minisite,100,100,-1,0
Dũa nhỏ Precision 100/100,2403 Dũa nhỏ Precision 100/100,Dũa,A0000533,375,15,5.218,4.79,120.56,https://x.alibaba.com/AvzRee?ck=minisite,100,50,-2,0
Tips natur ballerina ngắn,2403 Típ ballerina ngắn,Tips,A0000543,290,10,2.273,2.10,53.20,https://x.alibaba.com/Aw4ZEH?ck=minisite,100,200,-10,0
Lõi súng G5,2404 Lõi súng G5,Đồ điện,A0000549,1250,50,25.969,24.32,614.12,https://x.alibaba.com/AwF9vE?ck=minisite,100,20,-2,0
Dây tay máy tím 3 chân,2404 Dây tay máy tím 3 chân,Đồ điện,A0000551,150,6,2.597,2.43,61.41,https://x.alibaba.com/AwF9vE?ck=minisite,100,100,-2,0
Bột - Intense Pink,2510 Bột - Intense Pink,Bột,A0001134,840,35,22.907,19.67,477.31,Keystone,100,34,-2,0
Bút đắp hoa 3D 2 đầu,2510 bút đắp hoa nổi,Bút,A0001156,450,18,7.868,6.76,163.94,https://x.alibaba.com/1l9vO6R?ck=minisite,100,50,-1,0
Bút đắp bột Davie sz16,2510 bút đắp bột Davie sz16,Bút,A0001157,1200,48,22.653,19.45,472.02,https://x.alibaba.com/1l9vO6R?ck=minisite,100,50,-1,0
Chổi rắc nhũ,2405 Bút rắc nhũ,Bút,A0000572,90,4,0.884,0.82,20.59,https://x.alibaba.com/AwOLq8?ck=minisite,100,50,-4,0
Bút vẽ cọ,2405 Bút vẽ cọ,Bút,A0000573,125,5,1.712,1.59,39.88,https://x.alibaba.com/AwOLq8?ck=minisite,100,50,50,0
Bút vẽ hoa cúc,2405 Bút vẽ hoa cúc,Bút,A0000574,125,5,1.602,1.49,37.31,https://x.alibaba.com/AwOLq8?ck=minisite,100,50,-1,0
Dây cắm O japan,2405 Dậy cắm O super up200,Đồ điện,A0000582,150,6,2.614,2.43,60.92,https://x.alibaba.com/AwPkcD?ck=minisite,100,100,-2,0
Mịn thông XF,2405 Mịn thông XF,Đầu bào,A0000583,180,8,2.76,2.57,64.32,https://x.alibaba.com/AwPl5N?ck=minisite,100,100,-1,0
5in1 Phá volcano 4XC,2405 5in1 Phá Volcano,Đầu bào,A0000586,210,10,2.614,2.43,60.92,https://x.alibaba.com/AwPl5N?ck=minisite,100,100,-2,0
5XC,2405 5XC,Đầu bào,A0000588,180,8,2.457,2.29,57.26,https://x.alibaba.com/AwPl5N?ck=minisite,100,100,-10,0
XXS đầu vác,2405 XXS đầu vác,Đầu bào,A0000590,180,8,2.719,2.53,63.36,https://x.alibaba.com/AwPl5N?ck=minisite,100,100,-10,0
Biển google review,2405 Biển google review,Tools & Accessories,A0000592,500,20,3.032,2.82,70.66,https://x.alibaba.com/AwPlPc?ck=minisite,100,200,-1,0
Trục nhám Mini,2405 Trục nhám mini,Tools & Accessories,A0000593,150,6,2.032,1.87,46.31,https://x.alibaba.com/AwPl5N?ck=minisite,100,200,-4,0
Bút gel - vuông 6,2405 Bút gel sz 6 - vuông,Bút,A0000594,150,6,1.802,1.66,41.07,https://x.alibaba.com/AwYSgU?ck=minisite,100,300,-3,0
Bút gel quét mầu - vuông 8,2405 Bút gel sz 8 - vuông,Bút,A0000595,150,6,1.952,1.80,44.49,https://x.alibaba.com/AwYSgU?ck=minisite,100,300,-2,0
Keo DNS Pro 1s,2507 Keo DNS,Hoá chất,A0001034,12,0.5,0.146,0.12,3.05,https://x.alibaba.com/B00Qjy?ck=minisite,100,5000,-200,0
Ultraschall reiniger 5L,2406 Ultraschallreiniger 5L,Hoá chất,A0000601,550,20,11.217,10.47,258.63,Hoefer,100,48,-1,0
Kìm Nghĩa D555,2507 Kìm Nghĩa D555,Tools & Accessories,A0001027,190,8,3.667,3.11,76.61,Tran Thi Ngot,100,100,-2,0
50ml - Gel đắp IBD PINK,2509 Gel đắp IBD PINK 50ml,Gel đắp,A0001092,350,14,4.444,#N/A,91.83,https://x.alibaba.com/1l9oSxz?ck=minisite,100,60,-1,0
Chrome base coat 15ml,2509 Chrome Base Coat 15ml,Top Coat,A0001105,250,10,4.215,3.60,87.38,https://x.alibaba.com/1l9rNK0?ck=minisite,100,200,-1,0
Nam châm Mắt mèo thường,2507 Nam châm mắt mèo,Tools & Accessories,A0001054,50,2,0.61,0.53,12.95,http://detail.m.1688.com/page/index.htm?offerId=721867709022,100,100,-3,0
Chrome ngọc trai 1g,2507 Chrome ngọc trai trắng 1g,Design,A0001031,120,5,0.444,0.38,9.28,https://x.alibaba.com/B00QcV?ck=minisite,100,1000,-1,0
Nhũ đường D hũ 50gram,2406 Nhũ đường D hũ 50gram,Design,A0000618,250,10,1.746,1.63,40.76,https://x.alibaba.com/AwnOmP?ck=minisite,100,60,-1,0
15ml top coat tím đặc,2406 15ml top coat đặc,Top Coat,A0000622,200,10,1.177,1.10,27.47,Aosmei Senia W,100,30,-4,0
Khẩu trang y tế,Khẩu trang y tế,Tools & Accessories,A0000623,50,2,1.07,1.00,25.00,Mẹ Marek,100,999,-22,0
Bào nâng gầm,2406 Bào nâng gầm,Đầu bào,A0000624,180,8,3.223,3.01,74.66,Xiangrui,100,200,-3,0
4XC - Đầu tròn v2,2506 4XC Đầu tròn v2,Đầu bào,A0001017,200,8,2.754,2.34,58.08,Wilson,100,200,-2,0
3in1 Mịn C - dài,2506 Mịn 3in1 C - Dài,Đầu bào,A0001016,200,8,2.536,2.15,53.48,Wilson,100,100,-2,0
Bút đắp bột - kim cương - sz18,2507 Bút đắp bột - kim cương - sz18,Bút,A0001053,1300,53,23.324,20.09,495.31,https://x.alibaba.com/1l9aT5I?ck=minisite,100,200,-1,0
Nhám đỏ manicure,2407 Nhám đỏ,Tools & Accessories,A0000641,375,15,9.6833,9.03,227.30,kevin vo viber +16145796612,100,200,-1,0
Máy bào Marathon 3 bạc,2407 Máy Marathon 3 Champion bạc,Đồ điện,A0000645,3600,150,45.968,42.84,"1,079.04",loboter,100,48,-1,0
Dây cắm 3 châm Korea,2407 Dây cắm 3 châm Korea,Đồ điện,A0000646,150,6,2.419,2.25,56.78,loboter,100,50,-2,0
Đèn bàn LED đen,2407 Đèn bàn LED đen,Đồ điện,A0000648,1500,60,33.872,31.57,795.10,https://x.alibaba.com/Awrmxn?ck=minisite,100,100,-1,0
Cốc nắp vặn liquid,2507 Cốc nắp vặn liquid,Tools & Accessories,A0001035,100,4,2.7824385,2.36,49.24,DV GOLDEN NAILS,100,1200,-2,0
Set lọ inox đựng bột liquid,2407 Set lọ inox đựng bột liquid,Tools & Accessories,A0000651,300,12,7.258,6.76,170.37,https://x.alibaba.com/AwrnZT?ck=minisite,100,50,-1,0
Kê bàn trưng bày,2407 Kê bán trừng bày,Tools & Accessories,A0000652,150,6,2.419,2.25,56.78,https://x.alibaba.com/AwrnZT?ck=minisite,100,10,-1,0
Cốc đựng bột trái tim,2407 Cốc đựng bột trái tim,Tools & Accessories,A0000653,100,4,2.359,2.20,55.37,https://x.alibaba.com/Awrnhq?ck=minisite,100,96,-6,0
Hộp đựng dụng cụ,2407 Hộp đựng dụng cụ,Tools & Accessories,A0000656,30,1.2,0.786,0.73,18.45,https://x.alibaba.com/Awro1X?ck=minisite,100,100,-50,0
Túi Đá nhỏ - bạc,2407 Túi Đá nhỏ - bạc,Design,A0000660,100,4,0.544,0.51,12.77,https://x.alibaba.com/Awro1X?ck=minisite,100,100,-2,0
Túi Đá nhỏ - 7 màu,2407 Túi Đá nhỏ - 7 màu,Design,A0000661,100,4,0.605,0.56,14.20,https://x.alibaba.com/Awro1X?ck=minisite,100,100,-1,0
Biển mẫu 50 NailArt,2407 Bảng tip display,Tools & Accessories,A0000662,100,4,1.512,1.41,35.49,https://x.alibaba.com/Awro1X?ck=minisite,100,50,-3,0
Típ cho bảng tip display,2407 Típ cho bảng tip display,Tools & Accessories,A0000663,50,2,0.484,0.45,11.36,https://x.alibaba.com/Awro1X?ck=minisite,100,200,-10,0
Quyển bảng màu marble 160,2407 Quyển bảng màu marble 160,Tools & Accessories,A0000664,250,10,3.387,3.16,79.51,https://x.alibaba.com/Awro82?ck=minisite,100,20,-1,0
Quyển bảng màu gold 120,2407 Quyển bảng màu gold 120,Tools & Accessories,A0000665,250,10,4.113,3.83,96.55,https://x.alibaba.com/Awro82?ck=minisite,100,10,-1,0
Quyển bảng màu gold 216,2407 Quyển bảng màu gold 216,Tools & Accessories,A0000666,250,10,5.081,4.74,119.27,https://x.alibaba.com/Awro82?ck=minisite,100,10,-1,0
Quyển bảng màu to 300,2407 Quyển bảng màu to 300,Tools & Accessories,A0000667,625,25,14.516,13.53,340.75,https://x.alibaba.com/Awro82?ck=minisite,100,10,-1,0
Dũa nhỏ Precision 80/80,2407 Dũa Precision 80/80,Dũa,A0000670,375,15,5.18,4.79,120.86,https://x.alibaba.com/Awvg9I?ck=minisite,100,100,-1,0
Đèn vòng bàn - trắng,2407 Đèn vòng bàn - trắng,Đồ điện,A0000673,1975,79,28.18,26.06,657.49,https://x.alibaba.com/Awvgmf?ck=minisite,100,40,-1,0
Thùng Túi y tế 4000c,2407 Thùng Túi y tế 4000c,Pedicure,A0000674,4500,180,39.18,36.23,914.14,https://x.alibaba.com/Awvged?ck=minisite,100,25,-1,0
Thùng Mini buffer 1500c,2407 Thùng Mini buffer 1500c,Pedicure,A0000675,2500,100,23.13,21.39,539.66,https://x.alibaba.com/Awvged?ck=minisite,100,5,-1,0
Thùng Dũa mini 5000c,2407 Thùng Dũa mini 5000c,Pedicure,A0000676,6000,240,80.18,74.14,"1,870.74",https://x.alibaba.com/Awvged?ck=minisite,100,5,-1,0
5XC - Titan Xanh,2407 5XC - Titan,Đầu bào,A0000680,375,15,6.474,5.95,150.02,https://x.alibaba.com/Ax2TFK?ck=minisite,100,50,-2,0
4XC - tròn nhỏ,2408 4XC Tròn nhỏ,Đầu bào,A0000689,200,8,2.41,2.18,54.96,Wilson,100,100,-1,0
Bút quan tài sz16,2408 Bút quan tài sz16,Bút,A0000690,1200,48,19.949,18.07,454.97,https://x.alibaba.com/AxH2nc?ck=minisite,100,50,-2,0
Tay bào Korea bạc,2408 Tay bào Korea bạc,Đồ điện,A0000693,2000,80,22.278,20.18,508.09,https://x.alibaba.com/AxH36C?ck=minisite,100,40,-2,0
Chổi than japan,2408 Chổi than Japan,Đồ điện,A0000694,250,10,1.013,0.92,23.10,https://x.alibaba.com/AxH37i?ck=minisite,100,200,-2,0
Mài da khoé,2408 Mài da khoé,Đầu bào,A0000695,170,8,2.9,2.61,65.51,Xiangrui,100,100,-2,0
Bào mịn 3in1 - F,2408 3in1 Mịn F,Đầu bào,A0000696,170,8,2.9,2.61,65.51,Xiangrui,100,100,-2,0
Đèn cầu vòng đính đá,2508 Đèn cầu vòng - đính đá,Đồ điện,A0001079,1975,79,39.876,34.04,831.75,https://x.alibaba.com/1l9dy9j?ck=minisite,100,40,-4,0
Chrome ngọc trai 7 màu,2408 Chrome ngọc trai 7 màu,Design,A0000699,125,5,4.13,3.71,93.13,https://x.alibaba.com/AxKrfz?ck=minisite,100,100,-2,0
Chả gọt chân Inox,2408 Chà gọt chân,Tools & Accessories,A0000700,200,8,1.202,1.08,27.11,http://detail.m.1688.com/page/index.htm?offerId=533041350611,100,300,-2,0
Xốp kẹp chân 1000c,2408 Xốp kẹp chân 2000c,Tools & Accessories,A0000704,1000,40,23.563,21.20,531.01,https://x.alibaba.com/AxMaiO?ck=minisite,100,20,-1,0
Kê tay da - ghi,2408 Kê tay da - ghi,Tools & Accessories,A0000706,200,8,3.273,2.94,73.76,https://x.alibaba.com/AxMaWa?ck=minisite,100,100,-3,0
Bào gầm khoé nhọn,2409 Bào gầm khoé nhọn,Đầu bào,A0000708,180,8,2.853,2.57,64.34,Xiangrui,100,200,-1,0
Bào gầm mỏng,2409 Bào gầm mỏng,Đầu bào,A0000709,170,8,2.853,2.57,64.34,Xiangrui,100,200,-1,0
Chổi đánh bóng,2409 Chổi đánh bóng,Đầu bào,A0000710,100,4,0.603,0.54,13.60,Xiangrui,100,100,-10,0
Bào gầm răng thẳng,2409 Bào gầm răng thẳng,Đầu bào,A0000711,200,8,2.853,2.57,64.34,Xiangrui,100,200,-10,0
5XC - đầu tròn,2409 5XC Đầu tròn,Đầu bào,A0000712,180,8,2.853,2.57,64.34,Xiangrui,100,100,-2,0
M - to tròn,2409 M to tròn,Đầu bào,A0000713,180,8,2.853,2.57,64.34,Xiangrui,100,100,-1,0
M - nhỏ,2409 M nhỏ,Đầu bào,A0000714,180,8,2.853,2.57,64.34,Xiangrui,100,200,-1,0
Bào mịn 3in1 - M,2409 3in1 Mịn M,Đầu bào,A0000715,200,8,3.203,2.89,72.24,Xiangrui,100,200,-1,0
2XC Đầu vát,2409 2XC Đầu vát,Đầu bào,A0000716,180,8,2.853,2.57,64.34,Xiangrui,100,100,-1,0
Bột màu 56g Nude collection,2409 Bột màu 56g Nude collection,Bột,A0000717,300,12,4.699,4.23,105.95,https://x.alibaba.com/AxSAfy?ck=minisite,100,1200,-12,0
Bột - VIP Natural Pink,2409 Bột - VIP Natural Pink,Bột,A0000718,1000,40,21.929,19.75,494.43,https://x.alibaba.com/AxSAfy?ck=minisite,100,83,-1,0
Muối ngâm chân 5kg,2511 Muối ngâm chân 4.2kg,Pedicure,A0001222,750,30,9.607,8.34,201.31,Noval,100,60,-1,0
Sugar Scrub - Orange 20kg,2506 Xô Sugar Scrub Orange - 20KG,Pedicure,A0001009,3750,150,185.711,162.50,"4,018.38",Noval,100,40,-1,0
Kem Mango Vera 600ml,2409 Kem Mango Vera 600ml,Hoá chất,A0000723,250,10,5.369,4.84,121.06,https://x.alibaba.com/AxSBkn?ck=minisite,100,120,-2,0
Sơn Enjoy super trắng,2512 Sơn Enjoy trắng,Hoá chất,A0001231,120,5,2.311,1.99,48.06,Beshyne,100,120,-5,0
Sơn Enjoy super đen,2512 Sơn Enjoy đen,Hoá chất,A0001230,120,5,2.311,1.99,48.06,Beshyne,100,120,-1,0
Máy Ultraschall 2L,2409 Máy Ultraschall 2L,Đồ điện,A0000730,3000,120,62.287,56.10,"1,404.39",https://x.alibaba.com/AxSCuw?ck=minisite,100,20,-1,0
Nhũ đường A 50g,2409 Nhũ đường A 50g,Design,A0000731,250,10,1.822,1.64,41.08,https://x.alibaba.com/AxSDjN?ck=minisite,100,60,-1,0
Nhũ đường B 50g,2409 Nhũ đường B 50g,Design,A0000732,250,10,1.822,1.64,41.08,https://x.alibaba.com/AxSDjN?ck=minisite,100,60,-2,0
Nhũ đường C 50g,2409 Nhũ đường C 50g,Design,A0000733,250,10,1.481,1.33,33.39,https://x.alibaba.com/AxSDjN?ck=minisite,100,60,-1,0
Nhũ bạc phản quang mịn R1 50g,2409 Nhũ bạc phản quang mịn R1 50g,Design,A0000734,450,18,10.753,9.68,242.45,https://x.alibaba.com/AxSDjN?ck=minisite,100,50,-1,0
Bát nhựa ngâm tay,2409 Bát nhựa ngâm tay,Tools & Accessories,A0000735,75,3,0.294,0.26,6.63,https://x.alibaba.com/AxSE5a?ck=minisite,100,200,-4,0
Bạc Foil 3g,2409 Bạc Foil,Design,A0000736,125,5,0.94,0.85,21.19,https://x.alibaba.com/AxSE5a?ck=minisite,100,50,-1,0
Típ làm mẫu trong tròn 50c set,2409 Típ làm mẫu trong tròn 50c set,Tools & Accessories,A0000737,75,3,0.588,0.53,13.26,https://x.alibaba.com/AxSE5a?ck=minisite,100,100,-2,0
Nam châm mắt mèo - 5in1,2409 Nam châm mắt mèo - hình Cộng,Tools & Accessories,A0000738,200,8,2.35,2.12,52.99,https://x.alibaba.com/AxSE5a?ck=minisite,100,100,-1,0
Chổi vệ sinh đầu mài,2409 Chổi quét đầu mài,Tools & Accessories,A0000739,100,4,1.175,1.06,26.49,https://x.alibaba.com/AxSE5a?ck=minisite,100,50,-1,0
Chai sơn không 15ml,2409 Chai sơn không 15ml,Tools & Accessories,A0000743,37.5,1.5,0.071,0.06,1.60,http://detail.m.1688.com/page/index.htm?offerId=584139699012,100,400,-3,0
Chai primer không 15ml,2511 Chai primer không,Tools & Accessories,A0001164,37.5,1.5,0.909,0.79,19.02,https://x.alibaba.com/1lA0t6Y?ck=minisite,100,204,-5,0
Chai bond không 15ml,2511 Chai bond không,Tools & Accessories,A0001163,37.5,1.5,0.909,0.79,19.02,https://x.alibaba.com/1lA0t6Y?ck=minisite,100,204,-10,0
Hộp đựng phá tròn trắng,2409 Hộp đựng phá tròn trắng,Tools & Accessories,A0000746,125,5,0.635,0.57,14.32,http://detail.m.1688.com/page/index.htm?offerId=751479664257,100,50,-4,0
Bút cán gỗ sz16,2410 Bút cán gỗ sz16,Bút,A0000752,1200,48,20.411,18.44,466.74,https://x.alibaba.com/AxgCQU?ck=minisite,100,200,-4,0
Bút đắp bột - kim cương - sz16,2410 Bút chấm bi sz16,Bút,A0000753,1200,48,20.411,18.44,466.74,https://x.alibaba.com/AxgCQU?ck=minisite,100,200,-1,0
Tay bào trắng Korea SH20N,2410 Tay bào SH20N Trắng,Đồ điện,A0000754,3400,136,72.527,65.51,"1,658.47",https://x.alibaba.com/AxgCXn?ck=minisite,100,20,-1,0
Vòng bi to Japan,2507 Vòng bi Japan chính to,Tools & Accessories,A0001056,110,7,1.352,1.15,28.25,https://x.alibaba.com/1l9bae6?ck=minisite,100,100,-2,0
Vòng bi nhỏ Japan,2507 Vòng bi Japan chính nhỏ,Tools & Accessories,A0001057,110,6,0.749,0.64,15.65,https://x.alibaba.com/1l9bae6?ck=minisite,100,100,-2,0
1KG - Gel đắp CLEAR,2511 Gel đắp - 1KG - Clear,Gel đắp,A0001185,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
1KG - Gel đắp NATURAL PINK,2511 Gel đắp - 1KG - Natural Pink,Gel đắp,A0001186,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗1,2511 Gel đắp - 1KG - Makeup 1,Gel đắp,A0001189,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗2,2511 Gel đắp - 1KG - Makeup 2,Gel đắp,A0001190,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
1KG - Gel đắp MAKEUP ⌗3,2511 Gel đắp - 1KG - Makeup 3,Gel đắp,A0001191,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
Cắt fen thường,2410 Cắt fen thường,Tools & Accessories,A0000765,100,6,0.65,0.59,14.93,https://x.alibaba.com/AxgDXM?ck=minisite,100,200,-1,0
Cắt fen sâu - E,2410 Cắt fen sâu - E,Tools & Accessories,A0000766,150,6,0.65,0.59,14.93,https://x.alibaba.com/AxgDXM?ck=minisite,100,200,-1,0
XXS ULTRA,2410 XXS,Đầu bào,A0000767,180,8,2.828,2.60,65.65,Xiangrui,100,300,-5,0
XC - tròn,2410 XC Đầu tròn,Đầu bào,A0000768,180,8,2.828,2.60,65.65,Xiangrui,100,100,-1,0
Bào Mịn SM,2410 SM,Đầu bào,A0000769,170,8,2.828,2.60,65.65,Xiangrui,100,100,-5,0
C - bào lửa,2410 C - Bào Lửa,Đầu bào,A0000771,180,8,2.828,2.60,65.65,Xiangrui,100,100,-2,0
Bào khoé tròn,2410 Bào khoé tròn,Đầu bào,A0000772,180,8,2.828,2.60,65.65,Xiangrui,100,50,-3,0
XXS Hoa cúc ULTRA,2410 XXS Hoa cúc,Đầu bào,A0000773,180,8,2.828,2.60,65.65,Xiangrui,100,100,-3,0
Base coat 15ml,2410 Base coat 15ml,Hoá chất,A0000781,250,10,1.972,1.81,45.78,https://x.alibaba.com/AxnU9h?ck=minisite,100,200,-3,0
Sơn màu SORAH 15ml,2410 Sơn SORAH 15ml,Sơn màu,A0000782,100,4,1.772,1.63,41.13,https://x.alibaba.com/AxnU9h?ck=minisite,100,8640,-4,0
SORAH 144 quyển màu,2410 SORAH 144 quyển màu,Sơn màu,A0000783,0,0,16.782,15.40,389.57,https://x.alibaba.com/AxnU9h?ck=minisite,100,60,-2,0
Máy hút bụi bàn di dộng,2505 Máy hút bụi bàn di động,Đồ điện,A0000994,1500,60,31.958,28.38,707.12,https://x.alibaba.com/Azbq2K?ck=minisite,100,24,-1,0
Dũa Bông hoa đen 80/80,2410 Dũa Hoa hồng 80/80,Dũa,A0000786,650,25,9.984,9.20,232.22,https://x.alibaba.com/Axpbp8?ck=minisite,100,200,-2,0
Tip Thẳng Straight jet - Lẻ (50c),2511 Tip thẳng Straight Jet,Tips,A0001216,18,0.7,0.404,0.35,8.49,New York Supply Berlin +4915208576163,100,3810,-140,0
Vỏ nhám trắng ⌗150 (1000c),2511 Vỏ nhám trắng M-150,Tools & Accessories,A0001218,1000,40,16.678,14.48,350.28,https://x.alibaba.com/1lA1JV3?ck=minisite,100,100,-1,0
Vỏ nhám trắng ⌗120 - C (1000c),2511 Vỏ nhám trắng C-120,Tools & Accessories,A0001219,1000,40,16.678,14.48,350.28,https://x.alibaba.com/1lA1JV3?ck=minisite,100,100,-1,0
Vỏ nhám trắng ⌗180 - F (1000c),2410 Vỏ Nhám Trắng ⌗180 1000c,Tools & Accessories,A0000790,1000,40,9.928,9.15,230.92,https://x.alibaba.com/Axpbz6?ck=minisite,100,50,-1,0
Set Hộp đá - 7 màu,2410 Set Hộp đá - 7 màu,Design,A0000791,750,30,8.642,7.97,201.00,http://detail.m.1688.com/page/index.htm?offerId=639452861749,100,50,-1,0
Set Hộp đá - bạc,2410 Set Hộp đá - bạc,Design,A0000792,750,30,7.683,7.08,178.70,http://detail.m.1688.com/page/index.htm?offerId=639452861749,100,50,-1,0
Set Hộp đá - vàng,2410 Set Hộp đá - vàng,Đồ điện,A0000793,750,30,8.958,8.26,208.35,http://detail.m.1688.com/page/index.htm?offerId=639452861749,100,50,-1,0
Set Hộp đá - chữ vàng,2410 Set Hộp đá - chữ vàng,Design,A0000794,875,35,11.203,10.33,260.57,http://detail.m.1688.com/page/index.htm?offerId=675426068529,100,50,-1,0
Kem Mango Vera 5kg,2410 Kem Mango Vera 5KG,Hoá chất,A0000795,725,29,11.422,10.52,265.93,https://x.alibaba.com/AxqF9O?ck=minisite,100,80,-1,0
Callus Remover 5kg,2511 Callus Remover 4.2kg,Pedicure,A0001221,1125,42,18.012,15.64,377.43,Noval,100,100,-1,0
Xô Muối ngâm chân - mịn 23kg,2511 Muối ngâm chân Xô 23kg,Hoá chất,A0001223,2500,100,42.887,37.23,898.67,Noval,100,36,-1,0
Chổi quét bàn to,2507 Chổi quét bàn to,Tools & Accessories,A0001046,200,8,1.89,1.61,39.64,https://x.alibaba.com/B03xgx?ck=minisite,100,1000,-5,0
4XC đầu vát,2410 4XC Đầu vát,Đầu bào,A0000802,180,8,3.159,2.93,74.39,https://x.alibaba.com/Axudal?ck=minisite,100,100,-1,0
Kìm Nghĩa D01 Mũi 16,2507 Kìm Nghĩa D01 Mũi 16,Tools & Accessories,A0001026,260,12,6.029,5.11,125.96,Tran Thi Ngot,100,100,-2,0
Cây đẩy da,2410 Cây đẩy da,Tools & Accessories,A0000805,50,2,0.774,0.72,18.23,Trần Thị Ngọt,100,200,-2,0
Aceton 5L,2505 Aceton 5L,Hoá chất,A0000996,430,20,10.572,9.39,233.92,Hoefer chemie ,100,96,-1,0
Cồn IPA70 5L,2505 Cồn 5L,Hoá chất,A0000995,380,18,7.971,7.08,176.37,Hoefer chemie ,100,96,-2,0
Aceton 1L,2411 Aceton 1L,Hoá chất,A0000811,200,8,2.79,2.64,66.69,Hoefer,100,240,-1,0
Típ thường 50c,2411 Típ thường 50c,Tools & Accessories,A0000816,13,0.6,0.174,0.17,4.18,USN,100,66000,-39,0
Gel vẽ trắng French 50ml,2509 Gel vẽ French White 50ml,Design,A0001091,250,10,4.444,#N/A,91.83,https://x.alibaba.com/1l9oSxz?ck=minisite,100,60,-3,0
Sơn màu Milky White 15ml,2508 Sơn Milky white 15ml,Sơn màu,A0001069,100,4,1.836,1.57,38.30,https://x.alibaba.com/1l9hA6o?ck=minisite,100,120,-4,0
Flash Disco Cat Eye 12 màu,2412 Flash Disco Cat Eye 12 màu,Sơn màu,A0000821,1500,60,37.121,35.15,887.64,https://x.alibaba.com/xvCGLbC?ck=minisite,100,60,-1,0
Set Phấn nén làm ombre,2412 Bột phấn nén làm ombre 120 màu,Design,A0000822,300,12,4.326,4.10,103.44,http://detail.m.1688.com/page/index.htm?offerId=542506424161,100,200,-1,0
1KG - Gel đắp MILKY WHITE,2511 Gel đắp - 1KG - Milky White,Gel đắp,A0001188,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
1KG - Gel đắp MILKY PINK,2511 Gel đắp - 1KG - Milky Pink,Gel đắp,A0001187,2100,85,44.35,38.51,931.47,XGM,100,5,-1,0
M - to,2412 M - to,Đầu bào,A0000830,180,8,2.75,2.62,66.13,Xiangrui,100,200,-1,0
Bào gầm 2.0,2412 Bào gầm 2.0,Đầu bào,A0000831,180,8,2.75,2.62,66.13,Xiangrui,100,100,-2,0
Phá Shellac,2412 Phá Shellac,Đầu bào,A0000832,180,8,3.1,2.95,74.55,Xiangrui,100,100,-3,0
Mịn thông M,2412 Mịn thông - M,Đầu bào,A0000833,180,8,3.9,3.71,93.78,Xiangrui,100,100,-3,0
Top coat tím đặc 500ml,2412 Top coat tím đặc - 500ml,Top Coat,A0000834,2200,80,24.512,23.33,589.44,Aosmei,100,50,-1,0
Liner gel vẽ Platinum,2412 Liner gel vẽ platinum,Design,A0000836,150,6,1.78,1.69,42.80,https://x.alibaba.com/x8DKnGD?ck=minisite,100,250,-3,0
Đèn bàn trắng 18W,2412 Đèn bàn trắng 18W,Đồ điện,A0000841,1500,60,26.235,24.96,629.52,https://x.alibaba.com/xOf8zii?ck=minisite,100,20,-1,0
Dũa mỏng nhỏ tròn 100/100,2506 Dũa mỏng nhỏ tròn 100/100,Dũa,A0001018,280,12,4.107,3.48,86.62,https://x.alibaba.com/AzzqcX?ck=minisite,100,200,-100,0
Dũa mỏng nhỏ tròn 80/80,2412 Dũa mỏng nhỏ 80/80,Dũa,A0000845,280,12,4.517,4.30,108.39,https://x.alibaba.com/xi8jSDC?ck=minisite,100,200,-2,0
Bột - Clear Nhanh khô,2510 Bột - Clear Nhanh Khô,Bột,A0001131,840,35,22.883,19.65,476.81,Keystone,100,51,-2,0
